BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,timestamp
BROOKLYN,11219.0,40.629246,-74.00531,"(40.629246, -74.00531)",64 STREET                       ,11 AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4405004,Sedan,Sedan,,,,1617315960
BROOKLYN,11203.0,40.653416,-73.93672,"(40.653416, -73.93672)",,,596       LINDEN BOULEVARD              ,0,0,0,0,0,0,0,0,Unspecified,,,,,4339501,Sedan,,,,,1597748400
QUEENS,11106.0,40.755753,-73.92801,"(40.755753, -73.92801)",,,33-06     36 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4441535,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1627475820
QUEENS,11415.0,40.70347,-73.82947,"(40.70347, -73.82947)",85 AVENUE                       ,122 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4303133,Flat Bed,Station Wagon/Sport Utility Vehicle,,,,1584721800
QUEENS,11417.0,40.681988,-73.83698,"(40.681988, -73.83698)",104 STREET,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4490141,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,,1640613180
BRONX,10455.0,40.813175,-73.89845,"(40.813175, -73.89845)",BRUCKNER BOULEVARD              ,LEGGETT AVENUE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4374427,Station Wagon/Sport Utility Vehicle,,,,,1607278980
BRONX,10451.0,40.825424,-73.923485,"(40.825424, -73.923485)",GRAND CONCOURSE                 ,EAST 158 STREET,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4369482,Motorcycle,,,,,1605903060
BRONX,10466.0,40.899815,-73.85781,"(40.899815, -73.85781)",NEREID AVENUE,BRONX BOULEVARD,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4444051,Sedan,,,,,1628072400
QUEENS,11421.0,40.691013,-73.855736,"(40.691013, -73.855736)",,,88-14     88 STREET                     ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,Unspecified,,,4334700,Bike,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,1595510100
QUEENS,11373.0,40.742348,-73.86995,"(40.742348, -73.86995)",CORONA AVENUE                   ,94 STREET,,1,0,0,0,0,0,1,0,Lost Consciousness,Unspecified,Unspecified,,,4306479,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,1583744400
BROOKLYN,11209.0,40.61294,-74.032234,"(40.61294, -74.032234)",,,453       99 STREET                     ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4384561,Sedan,,,,,1610895240
BROOKLYN,11231.0,40.677944,-74.006805,"(40.677944, -74.006805)",DWIGHT STREET                   ,VERONA STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4321067,Sedan,Sedan,,,,1592421120
BROOKLYN,11235.0,40.590294,-73.952866,"(40.590294, -73.952866)",EAST 17 STREET                  ,AVENUE Y,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4381927,Station Wagon/Sport Utility Vehicle,,,,,1609926600
MANHATTAN,10003.0,40.736786,-73.98466,"(40.736786, -73.98466)",,,238       3 AVENUE,0,0,0,0,0,0,0,0,Oversized Vehicle,,,,,4437830,Tractor Truck Diesel,,,,,1626564000
QUEENS,11421.0,40.696564,-73.856476,"(40.696564, -73.856476)",,,84-30     89 STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4447117,Sedan,,,,,1629032400
QUEENS,11385.0,40.70003,-73.90698,"(40.70003, -73.90698)",MYRTLE AVENUE                   ,PUTNAM AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4305960,Moped,,,,,1583649600
BRONX,10466.0,40.891228,-73.84115,"(40.891228, -73.84115)",,,4015      WILDER AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4489710,Sedan,Sedan,,,,1640544000
BROOKLYN,11236.0,40.632717,-73.89138,"(40.632717, -73.89138)",SEAVIEW AVENUE                  ,EAST 95 STREET,,1,0,0,0,0,0,1,0,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,4394791,Bus,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Bus,1614354000
BRONX,10469.0,40.86451,-73.83494,"(40.86451, -73.83494)",,,1750      EAST GUN HILL ROAD            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4287806,Station Wagon/Sport Utility Vehicle,Sedan,,,,1580821620
STATEN ISLAND,10306.0,40.57431,-74.109055,"(40.57431, -74.109055)",CLAWSON STREET                  ,OTIS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4353709,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1601548800
QUEENS,11105.0,40.774185,-73.90975,"(40.774185, -73.90975)",,,22-36     35 STREET                     ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4356327,Pick-up Truck,,,,,1602144000
QUEENS,11411.0,40.68917,-73.73615,"(40.68917, -73.73615)",,,119-53    227 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,4283707,Station Wagon/Sport Utility Vehicle,,,,,1580858880
BROOKLYN,11206.0,40.69907,-73.93548,"(40.69907, -73.93548)",BUSHWICK AVENUE                 ,BEAVER STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4366798,Station Wagon/Sport Utility Vehicle,Sedan,,,,1604799600
BROOKLYN,11236.0,40.64995,-73.9057,"(40.64995, -73.9057)",,,1231      ROCKAWAY AVENUE               ,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Passing Too Closely,,,,4312865,Station Wagon/Sport Utility Vehicle,Bike,,,,1588929600
