BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,timestamp
BROOKLYN,11216.0,40.685326,-73.94433,"(40.685326, -73.94433)",,,354       TOMPKINS AVENUE,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4439038,Box Truck,Station Wagon/Sport Utility Vehicle,,,,1626298200
QUEENS,11103.0,40.762302,-73.91628,"(40.762302, -73.91628)",,,30-75     STEINWAY STREET               ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4295758,Sedan,Station Wagon/Sport Utility Vehicle,,,,1583069700
BRONX,10459.0,40.81632,-73.89622,"(40.81632, -73.89622)",SOUTHERN BOULEVARD              ,LONGWOOD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4296221,3-Door,Station Wagon/Sport Utility Vehicle,,,,1583135400
BROOKLYN,11211.0,40.71407,-73.954346,"(40.71407, -73.954346)",METROPOLITAN AVENUE,MARCY AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4476483,Sedan,Box Truck,,,,1636655640
QUEENS,11434.0,40.65616,-73.76736,"(40.65616, -73.76736)",ROCKAWAY BOULEVARD              ,BREWER BOULEVARD,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4393784,Sedan,Station Wagon/Sport Utility Vehicle,,,,1614021600
BRONX,10465.0,40.830875,-73.83435,"(40.830875, -73.83435)",GIFFORD AVENUE,BALCOM AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,4464047,Station Wagon/Sport Utility Vehicle,,,,,1633334400
BROOKLYN,11220.0,40.64636,-74.003365,"(40.64636, -74.003365)",,,660       44 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,4336148,Station Wagon/Sport Utility Vehicle,,,,,1596811800
MANHATTAN,10034.0,40.859898,-73.91985,"(40.859898, -73.91985)",9 AVENUE                        ,WEST 201 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4336840,Station Wagon/Sport Utility Vehicle,,,,,1596985200
QUEENS,11433.0,40.704422,-73.792854,"(40.704422, -73.792854)",MERRICK BOULEVARD,ARCHER AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4414038,Station Wagon/Sport Utility Vehicle,,,,,1620245400
MANHATTAN,10033.0,40.847412,-73.93331,"(40.847412, -73.93331)",WEST 179 STREET,AUDUBON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4428381,Station Wagon/Sport Utility Vehicle,,,,,1623852000
BROOKLYN,11214.0,40.583664,-73.98656,"(40.583664, -73.98656)",CROPSEY AVENUE                  ,BAY 52 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4296119,Station Wagon/Sport Utility Vehicle,,,,,1583001000
BRONX,10458.0,40.863,-73.893005,"(40.863, -73.893005)",,,2555      BAINBRIDGE AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4429739,Sedan,,,,,1624347600
QUEENS,11385.0,40.7081,-73.914185,"(40.7081, -73.914185)",ONDERDONK AVENUE                ,STOCKHOLM STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4318248,Sedan,,,,,1591261080
BROOKLYN,11222.0,40.723896,-73.94232,"(40.723896, -73.94232)",,,124       MONITOR STREET                ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4339862,Sedan,Tractor Truck Diesel,,,,1597827600
QUEENS,11691.0,40.603844,-73.756065,"(40.603844, -73.756065)",REGINA AVENUE                   ,BEACH CHANNEL DRIVE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4361907,Station Wagon/Sport Utility Vehicle,,,,,1603809900
BROOKLYN,11203.0,40.651733,-73.93039,"(40.651733, -73.93039)",CHURCH AVENUE                   ,UTICA AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4363011,Sedan,,,,,1604087400
MANHATTAN,10032.0,40.844135,-73.93752,"(40.844135, -73.93752)",WEST 173 STREET,SAINT NICHOLAS AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4485560,Sedan,,,,,1639198800
MANHATTAN,10037.0,40.81094,-73.94318,"(40.81094, -73.94318)",WEST 130 STREET,LENOX AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4485936,Sedan,,,,,1639254840
BRONX,10462.0,40.834522,-73.86186,"(40.834522, -73.86186)",MCGRAW AVENUE                   ,VIRGINIA AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4390244,Sedan,Sedan,,,,1612528200
BRONX,10451.0,,,,EAST 138 STREET,EXTERIOR STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4408772,Sedan,Sedan,,,,1618851000
STATEN ISLAND,10301.0,40.62795,-74.090645,"(40.62795, -74.090645)",,,590       VICTORY BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,,,,,4415964,Sedan,,,,,1620802920
MANHATTAN,10018.0,40.75834,-73.996414,"(40.75834, -73.996414)",10 AVENUE                       ,WEST 40 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4402973,Bus,,,,,1616622000
STATEN ISLAND,10308.0,40.545433,-74.14272,"(40.545433, -74.14272)",HYLAN BOULEVARD                 ,HILLSIDE TERRACE,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4306126,Station Wagon/Sport Utility Vehicle,Sedan,,,,1583681700
BROOKLYN,11249.0,40.709713,-73.965645,"(40.709713, -73.965645)",BERRY STREET                    ,SOUTH 8 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4333170,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1596038700
MANHATTAN,10013.0,40.719578,-73.99806,"(40.719578, -73.99806)",BAXTER STREET,GRAND STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4481298,,,,,,1637274360
BROOKLYN,11213.0,40.669575,-73.94555,"(40.669575, -73.94555)",,,698       EASTERN PARKWAY               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4275859,Sedan,Sedan,,,,1579356000
BROOKLYN,11234.0,40.628765,-73.92373,"(40.628765, -73.92373)",,,5427      FLATLANDS AVENUE              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4305832,Sedan,Sedan,Sedan,,,1583595900
QUEENS,11378.0,40.72415,-73.89869,"(40.72415, -73.89869)",GRAND AVENUE                    ,66 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4345102,Sedan,Station Wagon/Sport Utility Vehicle,,,,1599341820
QUEENS,11433.0,40.70405,-73.79783,"(40.70405, -73.79783)",,,92-15     UNION HALL STREET             ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4269584,Box Truck,Box Truck,,,,1578320100
QUEENS,11413.0,40.67617,-73.74749,"(40.67617, -73.74749)",,,135-25    223 STREET                    ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4322421,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,1592886600
BRONX,10457.0,40.849773,-73.88709,"(40.849773, -73.88709)",,,2156      CROTONA AVENUE,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,4480903,Station Wagon/Sport Utility Vehicle,,,,,1637456400
BROOKLYN,11207.0,40.684937,-73.91014,"(40.684937, -73.91014)",COOPER STREET                   ,BUSHWICK AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4304072,Sedan,Sedan,,,,1584539700
MANHATTAN,10022.0,40.76155,-73.96659,"(40.76155, -73.96659)",EAST 59 STREET                  ,3 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4292952,Sedan,Box Truck,,,,1582547400
QUEENS,11373.0,40.746624,-73.886604,"(40.746624, -73.886604)",,,40-40     79 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4490830,Station Wagon/Sport Utility Vehicle,,,,,1640889000
BROOKLYN,11236.0,40.646404,-73.912865,"(40.646404, -73.912865)",,,900       REMSEN AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4322406,Sedan,Station Wagon/Sport Utility Vehicle,,,,1592669700
BROOKLYN,11216.0,40.679634,-73.94959,"(40.679634, -73.94959)",NOSTRAND AVENUE,HERKIMER STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4482447,Sedan,Box Truck,,,,1637437080
BROOKLYN,11207.0,40.693405,-73.90886,"(40.693405, -73.90886)",WEIRFIELD STREET                ,KNICKERBOCKER AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4301232,Sedan,Sedan,,,,1584386400
BROOKLYN,11238.0,,,,FULTON STREET,FRANKLIN AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4472004,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1633035600
BROOKLYN,11205.0,40.694454,-73.97214,"(40.694454, -73.97214)",,,110       ADELPHI STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,4362118,Sedan,Sedan,,,,1603919760
STATEN ISLAND,10312.0,0.0,0.0,"(0.0, 0.0)",ARDEN AVENUE                    ,ARTHUR KILL ROAD,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,4406511,Station Wagon/Sport Utility Vehicle,Box Truck,Box Truck,,,1616464800
BRONX,10472.0,40.831917,-73.881256,"(40.831917, -73.881256)",,,1321      BRONX RIVER AVENUE            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4359083,Sedan,Sedan,Sedan,,,1602971880
QUEENS,11373.0,40.739113,-73.88975,"(40.739113, -73.88975)",QUEENS BOULEVARD,74 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4422747,Sedan,Pick-up Truck,,,,1622034000
QUEENS,11369.0,40.76301,-73.87532,"(40.76301, -73.87532)",ASTORIA BOULEVARD               ,94 STREET,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,4391978,Station Wagon/Sport Utility Vehicle,Sedan,,,,1613289600
MANHATTAN,10001.0,40.753925,-73.99761,"(40.753925, -73.99761)",DYER AVENUE                     ,WEST 34 STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4320864,Sedan,Flat Bed,,,,1592390820
BRONX,10460.0,40.844635,-73.88724,"(40.844635, -73.88724)",EAST 178 STREET                 ,MAPES AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,,4370328,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,1605819600
BRONX,10468.0,40.87859,-73.88599,"(40.87859, -73.88599)",,,3276      JEROME AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4451039,Sedan,,,,,1630024020
BRONX,10453.0,40.861862,-73.91275,"(40.861862, -73.91275)",MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4439578,Sedan,Station Wagon/Sport Utility Vehicle,,,,1626989220
BRONX,10458.0,40.866875,-73.884315,"(40.866875, -73.884315)",,,2861      WEBSTER AVENUE,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4482628,Sedan,Pick-up Truck,,,,1638351600
MANHATTAN,10009.0,40.730064,-73.97462,"(40.730064, -73.97462)",,,279       AVENUE C                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,4327164,Station Wagon/Sport Utility Vehicle,,,,,1594033200
BRONX,10467.0,40.8783,-73.861046,"(40.8783, -73.861046)",,,815       EAST 213 STREET               ,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,Unspecified,Unspecified,,4269310,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,1577916000
BROOKLYN,11218.0,40.642494,-73.98014,"(40.642494, -73.98014)",,,82        CHURCH AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4445609,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,1628014740
STATEN ISLAND,10306.0,40.575653,-74.10455,"(40.575653, -74.10455)",HYLAN BOULEVARD                 ,GREELEY AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4402836,Sedan,Sedan,,,,1617054600
BROOKLYN,11211.0,40.7203,-73.95508,"(40.7203, -73.95508)",,,101       BEDFORD AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,,,,4472635,Sedan,Sedan,,,,1635598800
BROOKLYN,11223.0,40.598873,-73.98086,"(40.598873, -73.98086)",,,1995      WEST 9 STREET                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,4383878,Sedan,,,,,1610593200
MANHATTAN,10027.0,40.810764,-73.9526,"(40.810764, -73.9526)",WEST 125 STREET                 ,SAINT NICHOLAS AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4396832,Bike,,,,,1614810780
QUEENS,11429.0,40.707306,-73.75122,"(40.707306, -73.75122)",FRANCIS LEWIS BOULEVARD,HOLLIS AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4488415,Sedan,Sedan,,,,1639778580
BROOKLYN,11208.0,0.0,0.0,"(0.0, 0.0)",,,179       SHEPHERD AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,4400836,Sedan,,,,,1616071200
BROOKLYN,11233.0,40.669476,-73.919975,"(40.669476, -73.919975)",EASTERN PARKWAY                 ,HOWARD AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4285842,Station Wagon/Sport Utility Vehicle,Sedan,,,,1581273600
MANHATTAN,10032.0,40.838425,-73.941696,"(40.838425, -73.941696)",BROADWAY                        ,WEST 164 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4364171,Sedan,Station Wagon/Sport Utility Vehicle,,,,1604325600
BROOKLYN,11207.0,40.66314,-73.88003,"(40.66314, -73.88003)",LINDEN BOULEVARD,CLEVELAND STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4424385,Sedan,,,,,1622942100
BROOKLYN,11209.0,40.616924,-74.03133,"(40.616924, -74.03133)",,,378       94 STREET                     ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4277021,Sedan,Sedan,,,,1579532400
BROOKLYN,11211.0,,,,,,387       VANDERVORT AVENUE             ,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4283806,Box Truck,Station Wagon/Sport Utility Vehicle,,,,1580830200
BROOKLYN,11212.0,40.66,-73.91218,"(40.66, -73.91218)",,,411       AMBOY STREET                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4370779,Sedan,,,,,1606046400
STATEN ISLAND,10310.0,40.6372,-74.125656,"(40.6372, -74.125656)",RICHMOND TERRACE                ,BODINE STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4312851,Sedan,Sedan,Sedan,,,1588910400
MANHATTAN,10033.0,40.848682,-73.939224,"(40.848682, -73.939224)",WEST 178 STREET                 ,FORT WASHINGTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4294699,Sedan,,,,,1582648800
MANHATTAN,10031.0,40.82133,-73.950485,"(40.82133, -73.950485)",,,1600      AMSTERDAM AVENUE              ,2,0,1,0,0,0,1,0,Unspecified,,,,,4363295,Motorcycle,,,,,1603655820
MANHATTAN,10016.0,40.74701,-73.977196,"(40.74701, -73.977196)",EAST 36 STREET,3 AVENUE,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4432392,Taxi,Station Wagon/Sport Utility Vehicle,,,,1624991100
QUEENS,11432.0,40.70752,-73.806435,"(40.70752, -73.806435)",,,150-71    87 ROAD,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4415383,Sedan,Sedan,,,,1620664800
QUEENS,11355.0,40.76147,-73.818085,"(40.76147, -73.818085)",147 STREET                      ,41 AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4332645,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1595928960
QUEENS,11385.0,40.70003,-73.90698,"(40.70003, -73.90698)",MYRTLE AVENUE                   ,PUTNAM AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4284676,Box Truck,,,,,1580997000
BROOKLYN,11207.0,40.657665,-73.89705,"(40.657665, -73.89705)",LINDEN BOULEVARD,HINSDALE STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,4413441,Sedan,,,,,1619796180
BRONX,10467.0,40.877796,-73.86806,"(40.877796, -73.86806)",EAST GUN HILL ROAD              ,OLINVILLE AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4383526,Sedan,Sedan,,,,1610364060
MANHATTAN,10001.0,40.75045,-73.9873,"(40.75045, -73.9873)",AVENUE OF THE AMERICAS,WEST 35 STREET,,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4412284,Sedan,Bike,,,,1619638800
BROOKLYN,11206.0,40.695705,-73.94637,"(40.695705, -73.94637)",MYRTLE AVENUE                   ,TOMPKINS AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4304956,Taxi,,,,,1585670700
BROOKLYN,11210.0,40.629505,-73.94416,"(40.629505, -73.94416)",FLATBUSH AVENUE                 ,AVENUE I,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4317673,Sedan,Sedan,,,,1591200540
QUEENS,11416.0,40.68816,-73.848854,"(40.68816, -73.848854)",WOODHAVEN BOULEVARD             ,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4272976,Sedan,,,,,1578741720
BROOKLYN,11215.0,40.67267,-73.99002,"(40.67267, -73.99002)",3 AVENUE,7 STREET,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4451792,Pick-up Truck,Pick-up Truck,,,,1630261800
BROOKLYN,11236.0,40.64725,-73.89691,"(40.64725, -73.89691)",,,757       EAST 103 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4418845,Sedan,,,,,1621585800
BRONX,10459.0,40.82097,-73.890236,"(40.82097, -73.890236)",HOE AVENUE                      ,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4394236,Sedan,,,,,1614105480
QUEENS,11361.0,40.767952,-73.77834,"(40.767952, -73.77834)",KENNEDY STREET                  ,35 AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4269448,Sedan,Sedan,,,,1578301200
BROOKLYN,11207.0,40.668854,-73.89863,"(40.668854, -73.89863)",,,550       SUTTER AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4429461,Station Wagon/Sport Utility Vehicle,,,,,1624270080
BROOKLYN,11204.0,40.629356,-73.98727,"(40.629356, -73.98727)",16 AVENUE                       ,52 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4296759,Sedan,Station Wagon/Sport Utility Vehicle,,,,1583090160
MANHATTAN,10021.0,40.76944,-73.951866,"(40.76944, -73.951866)",YORK AVENUE                     ,EAST 76 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4369896,Sedan,Sedan,,,,1605972600
BRONX,10463.0,40.875088,-73.912415,"(40.875088, -73.912415)",,,150       WEST 225 STREET,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4434270,Taxi,,,,,1625464560
BRONX,10466.0,40.89193,-73.848076,"(40.89193, -73.848076)",EDENWALD AVENUE                 ,WICKHAM AVENUE,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,4286184,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,,1580976300
QUEENS,11104.0,40.74089,-73.92201,"(40.74089, -73.92201)",GREENPOINT AVENUE,43 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,4426612,Station Wagon/Sport Utility Vehicle,,,,,1623610200
BRONX,10460.0,40.83315,-73.8871,"(40.83315, -73.8871)",BRYANT AVENUE                   ,EAST 172 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4289496,Station Wagon/Sport Utility Vehicle,,,,,1581690600
BROOKLYN,11222.0,40.727966,-73.95007,"(40.727966, -73.95007)",MC GUINNESS BOULEVARD           ,MESEROLE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4388580,Station Wagon/Sport Utility Vehicle,Chassis Cab,,,,1612212300
BROOKLYN,11214.0,40.60247,-74.010025,"(40.60247, -74.010025)",BAY 16 STREET                   ,17 COURT,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4350159,Sedan,,,,,1600677000
MANHATTAN,10019.0,40.76269,-73.98581,"(40.76269, -73.98581)",,,840       8 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4381415,Box Truck,,,,,1609752600
MANHATTAN,10019.0,,,,52 street,8 avenue,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4449945,Sedan,,,,,1629702000
MANHATTAN,10034.0,40.866447,-73.9305,"(40.866447, -73.9305)",RIVERSIDE DRIVE                 ,HENSHAW STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4344147,Station Wagon/Sport Utility Vehicle,Sedan,,,,1599045480
STATEN ISLAND,10304.0,,,,NARROWS ROAD SOUTH              ,CLOVE ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4316508,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1590740100
QUEENS,11365.0,40.733105,-73.791885,"(40.733105, -73.791885)",,,179-06    69 AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,4335900,Sedan,,,,,1596547800
MANHATTAN,10016.0,40.740326,-73.97312,"(40.740326, -73.97312)",FDR DRIVE                       ,EAST 30 STREET,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,4361737,Sedan,Sedan,,,,1603749540
QUEENS,11693.0,40.585964,-73.816635,"(40.585964, -73.816635)",ROCKAWAY BEACH BOULEVARD        ,BEACH 94 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4356696,Station Wagon/Sport Utility Vehicle,,,,,1602435600
STATEN ISLAND,10314.0,40.61858,-74.127174,"(40.61858, -74.127174)",,,105       KEIBER COURT,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4484629,Sedan,,,,,1638895800
BROOKLYN,11217.0,40.682842,-73.9766,"(40.682842, -73.9766)",,,166       FLATBUSH AVENUE               ,0,0,0,0,0,0,0,0,Pavement Slippery,Driver Inattention/Distraction,,,,4362351,Bus,Sedan,,,,1603985040
MANHATTAN,10032.0,40.835526,-73.94649,"(40.835526, -73.94649)",,,632       WEST 158 STREET               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4310866,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1588053060
QUEENS,11368.0,40.747196,-73.86033,"(40.747196, -73.86033)",44 AVENUE                       ,104 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4373004,Station Wagon/Sport Utility Vehicle,Sedan,,,,1606949280
MANHATTAN,10028.0,40.780537,-73.958084,"(40.780537, -73.958084)",,,68        EAST 86 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4427708,Sedan,,,,,1623833580
QUEENS,11365.0,40.734173,-73.78657,"(40.734173, -73.78657)",,,69-26     185 STREET                    ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4352070,Station Wagon/Sport Utility Vehicle,Sedan,,,,1600848000
BRONX,10467.0,40.86782,-73.86345,"(40.86782, -73.86345)",ARNOW AVENUE                    ,BARNES AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4376493,Sedan,,,,,1607886960
BROOKLYN,11207.0,40.668816,-73.89895,"(40.668816, -73.89895)",SUTTER AVENUE,WILLIAMS AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4451430,Sedan,Tractor Truck Diesel,,,,1630071660
QUEENS,11694.0,40.577534,-73.849915,"(40.577534, -73.849915)",NEWPORT AVENUE,BEACH 130 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4436585,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1626190200
QUEENS,11372.0,40.74675,-73.89233,"(40.74675, -73.89233)",73 STREET,ROOSEVELT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4419807,Sedan,,,,,1621745100
QUEENS,11368.0,40.752777,-73.86627,"(40.752777, -73.86627)",37 AVENUE                       ,101 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4384715,Station Wagon/Sport Utility Vehicle,Sedan,,,,1610756700
BRONX,10457.0,40.844368,-73.88902,"(40.844368, -73.88902)",EAST TREMONT AVENUE             ,PROSPECT AVENUE,,0,1,0,1,0,0,0,0,Unspecified,,,,,4328212,Sedan,,,,,1594690140
BROOKLYN,11234.0,40.60981,-73.92251,"(40.60981, -73.92251)",AVENUE U                        ,FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4360668,Chassis Cab,Station Wagon/Sport Utility Vehicle,,,,1603522800
QUEENS,11101.0,40.74266,-73.93209,"(40.74266, -73.93209)",47 AVENUE,33 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4474380,Sedan,Station Wagon/Sport Utility Vehicle,,,,1635929400
MANHATTAN,10003.0,40.72618,-73.99128,"(40.72618, -73.99128)",,,5         EAST 3 STREET,0,0,0,0,0,0,0,0,,,,,,4464522,Bus,,,,,1633333140
QUEENS,11101.0,40.75818,-73.93689,"(40.75818, -73.93689)",,,22-07     37 AVENUE                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4391487,Sedan,LIMO,,,,1612628820
